store_id,name,address,suburb,chain?,website_url,phone_number,lat,lng,apportioned_pop,pop_density_per_sqkm
STR_0107,Hudson Mitre 10 Trade Centre Mitchell,34 Vicars St,Mitchell,True,https://www.mitre10.com.au/stores/act/mitchell-hudson-mitre-10-trade-centre-104380?utm_source=google&utm_medium=organic&utm_campaign=Google%20My%20Business&utm_content=Hudson%20Mitre%2010%20Trade%20Centre%20Mitchell%20-%20Mitchell&utm_term=plcid_8448968962220046729,(02) 6213 3700,-35.2117467,149.1459013,25924.29167087348,916.88
STR_0108,Woolworths Metro Bonner,61 Mabo Blvd,Bonner,True,https://www.woolworths.com.au/shop/storelocator/act-bonner-1457?utm_source=google&utm_medium=organic&utm_campaign=googleplaces&utm_content=woolworths_supermarkets_1457,(02) 6132 9863,-35.1613889,149.1388889,38307.222588737415,1354.84
STR_0109,Pet ID Tag,Paddington NSW 2021,Paddington,True,http://petidtag.com.au/,0411 556 700,-33.8847673,151.2261939,191468.35094768764,6771.81
STR_0110,Broadway,Shop LG10/1 Bay Street,Glebe,True,https://www.petstock.com.au/store/petstock-broadway-2094?utm_term=plcid_554217230355441280,(02) 9211 4840,-33.883857,151.1942103,220372.39550953047,7794.08
STR_0111,Paw4Friends,89 Crown St,Darlinghurst,True,https://paw4friends.com/,0432 902 875,-33.8746423,151.2160498,170554.10194396743,6032.12
STR_0112,Pet Vista,Shop R1.05/13 Hay St,Haymarket,True,,0405 810 729,-33.8800089,151.2035622,205207.6548613875,7257.74
STR_0113,Petbarn Surry Hills,37/51 Foveaux St,Surry Hills,True,https://www.petbarn.com.au/store-finder/surry-hills?utm_content=local_seo,(02) 8365 6733,-33.8840788,151.209376,211473.8323023194,7479.36
STR_0114,Ragdoll Kittens Cattery,80 Shelley St,Sydney,True,https://691e6b61d39a2.site123.me/#section-112,,-33.8685198,151.2027301,170803.14770217062,6040.93
STR_0115,The Pet House,Pemulwuy Loop,Winston Hills,True,,0434 042 599,-33.8851553,151.2088577,215948.05680196808,7637.6
STR_0116,Pet Circle Head Office,Level 7/9 Castlereagh St,Sydney,True,https://www.petcircle.com.au/?utm_source=organic&utm_medium=google&utm_campaign=gmb,,-33.8666739,151.2096645,157130.57770362447,5557.36
STR_0117,The Postmodern Pet,22 Caldwell St,Darlinghurst,True,,0447 373 730,-33.8768737,151.2225018,166660.9118762153,5894.42
